strn,gg0,damp
[-],[-],[%]
0.0000001,1,2
0.000001,0.99937539,2
0.00001,0.99378882,2
0.0001,0.941176471,2
0.0003,0.842105263,3
0.001,0.615384615,7.307692308
0.003,0.347826087,12.39130435
0.01,0.137931034,16.37931034
0.03,0.050632911,18.03797468
0.1,0.015748031,18.7007874
