strn,gg0,damp
[-],[-],[%]
0.0000001,1,2
0.000001,0.999146029,2
0.00001,0.991525424,2
0.0001,0.921259843,2
0.0003,0.795918367,3.312928177
0.001,0.539170507,7.963346614
0.003,0.28057554,13.29578714
0.01,0.104744852,17.3657689
0.03,0.037536092,19.03014916
0.1,0.011564693,19.69067087
